,latitud,longitud,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_type_Casa,property_type_Departamento,property_type_PH
192551,-34.6067521,-58.510774,3.0,2.0,150.0,150.0,1,0,0
192596,-34.5887526,-58.5018485,3.0,2.0,147.0,85.0,1,0,0
192597,-34.5797618,-58.5060512,4.0,3.0,107.0,63.0,1,0,0
192606,-34.613101,-58.4678,5.0,4.0,380.0,240.0,1,0,0
192916,-34.6355946347,-58.4690501339,3.0,2.0,83.0,62.0,0,1,0
192917,-34.625157,-58.464925,3.0,2.0,58.0,54.0,0,1,0
192918,-34.6228626,-58.4729401,3.0,2.0,84.0,84.0,0,1,0
192919,-34.634055,-58.467951,2.0,1.0,49.0,46.0,0,1,0
192921,-34.622862,-58.467005,2.0,1.0,26.0,26.0,0,1,0
192924,-34.618486,-58.466131,1.0,1.0,33.0,30.0,0,1,0
192934,-34.5478695,-58.4595882,4.0,4.0,151.0,75.0,0,1,0
192941,-34.544283,-58.471007,2.0,1.0,35.0,35.0,0,1,0
192943,-34.595362,-58.378568,2.0,1.0,37.0,37.0,0,1,0
192944,-34.598444,-58.373114,3.0,2.0,71.0,70.0,0,1,0
192949,-34.603872,-58.430833,2.0,1.0,35.0,35.0,0,1,0
192953,-34.6127972,-58.4144889,3.0,2.0,43.0,43.0,0,1,0
192955,-34.56541,-58.4728,2.0,1.0,56.0,53.0,0,1,0
192960,-34.58045197,-58.43397903,2.0,1.0,60.0,60.0,0,1,0
192961,-34.5760274,-58.4199525,4.0,3.0,180.0,159.0,0,1,0
192965,-34.5779953,-58.4233068,2.0,1.0,50.490729260679224,34.0,0,1,0
192966,-34.58045197,-58.43397903,1.0,1.0,43.0,43.0,0,1,0
192968,-34.591086,-58.407885,6.0,4.0,144.0,144.0,0,1,0
192969,-34.5817128,-58.4078877,3.0,2.0,118.0,102.0,0,1,0
192973,-34.5813525,-58.432909,1.0,1.0,33.0,33.0,0,1,0
192976,-34.5749868,-58.4206108,2.0,1.0,150.0,70.0,0,1,0
192977,-34.5638,-58.4391,2.0,1.0,36.0,36.0,0,1,0
192980,-34.592602,-58.414812,4.0,3.0,95.0,80.0,0,1,0
192981,-34.585265,-58.419359,2.0,1.0,32.0,32.0,0,1,0
192983,-34.5902549,-58.4114508,1.0,1.0,47.60805069384227,39.0,0,1,0
192984,-34.5826895,-58.4046579,3.0,2.0,80.69390713885707,56.0,0,1,0
192988,-34.5779,-58.4294,4.0,3.0,86.0,86.0,0,1,0
192991,-34.5637519,-58.4408231,4.0,3.0,129.0,120.0,0,1,0
192994,-34.5778869,-58.4120732,4.0,3.0,128.0,120.0,0,1,0
192997,-34.5822862,-58.4060604,3.0,2.0,99.0,92.0,0,1,0
192998,-34.578558,-58.404876,2.0,1.0,29.0,29.0,0,1,0
193005,-34.5830421,-58.4000163,9.0,6.0,323.0,297.0,0,1,0
193072,-34.6433894,-58.3724581,3.0,2.0,100.93131403614662,76.0,0,1,0
193073,-34.6286134,-58.37209,4.0,3.0,87.0,75.0,0,1,0
193078,-34.56251995666168,-58.453841022697546,3.0,2.0,79.0,71.0,0,1,0
193079,-34.5637519,-58.4408231,4.0,3.0,129.0,120.0,0,1,0
193081,-34.568846,-58.457522,4.0,3.0,100.0,100.0,0,1,0
193082,-34.553925562,-58.4497214153,2.0,1.0,62.0,57.0,0,1,0
193086,-34.559804,-58.449174,2.0,1.0,50.0,47.0,0,1,0
193087,-34.56251995666168,-58.453841022697546,4.0,3.0,190.0,160.0,0,1,0
193089,-34.5644875736,-58.4460648523,5.0,4.0,210.0,181.0,0,1,0
193091,-34.560456,-58.465107,2.0,1.0,48.0,43.0,0,1,0
193096,-34.557667,-58.461831,3.0,2.0,93.0,93.0,0,1,0
193097,-34.5633037,-58.4641081,2.0,1.0,50.0,45.0,0,1,0
193102,-34.5678575,-58.446164,9.0,3.0,390.0,390.0,0,1,0
193103,-34.5584012,-58.451805,2.0,1.0,46.0,37.0,0,1,0
193105,-34.610173,-58.397527,3.0,2.0,102.0,81.0,0,1,0
193106,-34.606582,-58.3877396,3.0,2.0,82.71764782858602,58.0,0,1,0
193108,-34.608215,-58.389162,3.0,2.0,53.0,53.0,0,1,0
193330,-34.6366,-58.4779,2.0,1.0,36.0,36.0,0,1,0
193380,-34.6017657878,-58.464244498,2.0,1.0,55.0,48.0,0,1,0
193385,-34.5930693,-58.3953678,2.0,1.0,57.0,50.0,0,1,0
193386,-34.5902877233,-58.410274038,3.0,2.0,79.0,79.0,0,1,0
193390,-34.5989098,-58.3882438,2.0,1.0,59.59756236445952,43.0,0,1,0
193391,-34.5909233,-58.384214,7.0,3.0,318.0,318.0,0,1,0
193392,-34.5960182,-58.4091771,7.0,3.0,214.0,192.0,0,1,0
193395,-34.588732,-58.389331,4.0,3.0,102.0,102.0,0,1,0
193399,-34.5912443,-58.3894459,4.0,2.0,151.0,147.0,0,1,0
193400,-34.5940368,-58.3944851,4.0,3.0,210.0,210.0,0,1,0
193403,-34.592661,-58.3928413,6.0,3.0,257.0,244.0,0,1,0
193405,-34.5425648,-58.4743854,2.0,1.0,47.0,44.0,0,1,0
193407,-34.5529876,-58.4839566,2.0,1.0,37.0,37.0,0,1,0
193414,-34.61367,-58.407122,1.0,1.0,23.0,23.0,0,1,0
193415,-34.603223,-58.396188,3.0,2.0,77.0,73.0,0,1,0
193418,-34.612406,-58.410181,3.0,2.0,64.0,60.0,0,1,0
193419,-34.613041,-58.406936,3.0,2.0,45.0,45.0,0,1,0
193420,-34.6127149732,-58.4289299386,2.0,1.0,40.0,35.0,0,1,0
193421,-34.6064996,-58.4356338,1.0,1.0,57.0,51.0,0,1,0
193422,-34.610717,-58.441063,2.0,1.0,54.0,54.0,0,1,0
193424,-34.606504,-58.430743,1.0,1.0,56.0,49.0,0,1,0
193427,-34.606504,-58.430743,1.0,1.0,39.0,35.0,0,1,0
193429,-34.607622,-58.446686,4.0,3.0,76.0,76.0,0,1,0
193432,-34.617137,-58.44509,3.0,2.0,76.0,62.0,0,1,0
193433,-34.618632,-58.471051,3.0,2.0,65.0,55.0,0,1,0
193434,-34.623812,-58.448885,4.0,3.0,133.0,133.0,0,1,0
193435,-34.611625,-58.441343,4.0,3.0,71.0,71.0,0,1,0
193439,-34.61880110829379,-58.44193100337841,3.0,2.0,57.0,57.0,0,1,0
193441,-34.6247531,-58.4521375,3.0,2.0,79.0,75.0,0,1,0
193442,-34.626282,-58.45358,4.0,3.0,104.0,92.0,0,1,0
193443,-34.6104494,-58.4479983,2.0,1.0,68.0,44.0,0,1,0
193444,-34.590073,-58.449134,1.0,1.0,24.0,24.0,0,1,0
193445,-34.587261,-58.452398,2.0,1.0,71.0,70.0,0,1,0
193448,-34.6093907,-58.376433,2.0,1.0,32.0,32.0,0,1,0
193451,-34.6269083,-58.3731594,3.0,2.0,74.0,74.0,0,1,0
193452,-34.6269083,-58.3731594,2.0,1.0,43.0,43.0,0,1,0
193453,-34.6269083,-58.3731594,3.0,2.0,74.0,74.0,0,1,0
193454,-34.6269083,-58.3731594,3.0,1.0,64.0,64.0,0,1,0
193455,-34.619671,-58.374917,2.0,1.0,58.0,55.0,0,1,0
193458,-34.6269083,-58.3731594,2.0,1.0,51.0,51.0,0,1,0
193459,-34.6269083,-58.3731594,2.0,1.0,43.0,43.0,0,1,0
193462,-34.6269083,-58.3731594,4.0,1.0,106.0,106.0,0,1,0
193463,-34.6269083,-58.3731594,2.0,1.0,52.0,52.0,0,1,0
193464,-34.6269083,-58.3731594,3.0,2.0,64.0,64.0,0,1,0
193465,-34.6269083,-58.3731594,2.0,1.0,45.0,45.0,0,1,0
193471,-34.580344,-58.459045,2.0,1.0,37.0,37.0,0,1,0
193474,-34.579099,-58.455893,2.0,1.0,50.0,50.0,0,1,0
193504,-34.5884764548,-58.4034296,2.0,1.0,83.88245064120697,67.0,0,1,0
193506,-34.5923608,-58.4142275,3.0,2.0,59.0,51.0,0,1,0
193507,-34.5992088,-58.3891547,4.0,2.0,105.0,105.0,0,1,0
193509,-34.59343876320982,-58.40202233299449,4.0,4.0,106.0,98.0,0,1,0
193517,-34.599698,-58.371428,2.0,1.0,36.0,34.0,0,1,0
193518,-34.6010636,-58.4300436,2.0,2.0,31.0,31.0,0,1,0
193522,-34.59843427796116,-58.44032413463129,4.0,2.0,73.0,64.0,0,1,0
193523,-34.602234,-58.433597,2.0,1.0,56.0,56.0,0,1,0
193525,-34.606972,-58.515716,3.0,2.0,90.0,90.0,0,1,0
193530,-34.683047,-58.463873,3.0,2.0,50.0,50.0,0,1,0
193531,-34.6588675,-58.4789972,1.0,1.0,49.631791383571226,41.0,0,1,0
193532,-34.685218,-58.461154,4.0,3.0,73.0,73.0,0,1,0
193536,-34.6588675,-58.4789972,3.0,2.0,145.45360921018363,120.0,0,1,0
193537,-34.621996,-58.382856,3.0,2.0,80.0,80.0,0,1,0
193549,-34.6189722,-58.359509,2.0,1.0,72.0,66.0,0,1,0
193550,-34.6204291,-58.3610868,3.0,2.0,127.0,117.0,0,1,0
193551,-34.625232,-58.393933,1.0,1.0,22.0,22.0,0,1,0
193553,-34.5846021025,-58.444909326,2.0,1.0,50.0,46.0,0,1,0
193555,-34.5838649,-58.4719392,1.0,1.0,18.0,18.0,0,1,0
193556,-34.5741462,-58.4814281,4.0,3.0,85.0,79.0,0,1,0
193560,-34.580626,-58.467088,4.0,3.0,105.0,100.0,0,1,0
193561,-34.585736,-58.4764122,2.0,1.0,46.0,46.0,0,1,0
193564,-34.58654,-58.486887,3.0,2.0,70.0,64.0,0,1,0
193565,-34.5786686,-58.488098,4.0,3.0,104.0,97.0,0,1,0
193602,-34.642037,-58.439599,2.0,1.0,63.0,57.0,0,1,0
193603,-34.642037,-58.439599,2.0,1.0,63.0,57.0,0,1,0
193606,-34.6113499,-58.4835005,3.0,2.0,54.0,49.0,0,1,0
193607,-34.6061585,-58.4751197,2.0,1.0,45.0,35.0,0,1,0
